Núcleos visibles por este proceso: 64
Tiempo de la busqueda local: 155.26743292808533
Tiempo de la busqueda local: 447.5723922252655
Tiempo de la busqueda local: 468.1682298183441
Tiempo de la busqueda local: 297.7146556377411
Tiempo de la busqueda local: 504.3334631919861
Tiempo de la busqueda local: 707.7117943763733
Tiempo de la busqueda local: 863.499559879303
Tiempo de la busqueda local: 826.9659566879272
Tiempo de la busqueda local: 507.917040348053
Tiempo de la busqueda local: 986.4945843219757
Tiempo de la busqueda local: 1090.9700486660004
Tiempo de la busqueda local: 608.70725440979
Tiempo de la busqueda local: 624.8289122581482
Tiempo de la busqueda local: 683.9189686775208
Tiempo de la busqueda local: 1205.7603735923767
Tiempo de la busqueda local: 1242.528175354004
Tiempo de la busqueda local: 1425.9508867263794
Tiempo de la busqueda local: 1487.4184365272522
Tiempo de la busqueda local: 980.4324245452881
Tiempo de la busqueda local: 759.2346305847168
Tiempo de la busqueda local: 1535.1245939731598
Tiempo de la busqueda local: 1720.7245044708252
Tiempo de la busqueda local: 1592.0394041538239
Tiempo de la busqueda local: 1066.4936304092407
Tiempo de la busqueda local: 1823.1269607543945
Tiempo de la busqueda local: 1102.4947080612183
Tiempo de la busqueda local: 1902.1854710578918
Tiempo de la busqueda local: 1868.7398846149445
Tiempo de la busqueda local: 1514.5272328853607
Tiempo de la busqueda local: 2042.3422055244446
Tiempo de la busqueda local: 1814.156163930893
Tiempo de la busqueda local: 1509.267454624176
Tiempo de la busqueda local: 2213.4630284309387
Tiempo de la busqueda local: 2454.7859930992126
Tiempo de la busqueda local: 1847.3011581897736
Tiempo de la busqueda local: 2412.778591632843
Tiempo de la busqueda local: 2316.101940870285
Tiempo de la busqueda local: 2719.430951833725
Tiempo de la busqueda local: 2751.741758584976
Tiempo de la busqueda local: 2829.0157301425934
Tiempo de la busqueda local: 1959.6255795955658
Tiempo de la busqueda local: 2932.498569250107
Tiempo de la busqueda local: 3355.1523401737213
Tiempo de la busqueda local: 3128.6402826309204
Tiempo de la busqueda local: 4767.324109792709
Tiempo de la busqueda local: 4318.914034366608
Tiempo de la busqueda local: 2193.365932703018
Tiempo de la busqueda local: 2057.6200919151306
Tiempo de la busqueda local: 2921.3096313476562
Tiempo de la busqueda local: 2522.7924971580505
Termina la primera busqueda local

